DATE,CPI,NC_UNEMP,Unrate
1948-01-01,23.68,891.3,3.4
1948-02-01,23.67,879.1,3.8
1948-03-01,23.5,894.1,4.0
1948-04-01,23.82,891.3,3.9
1948-05-01,24.01,894.2,3.5
1948-06-01,24.15,894.5,3.6
1948-07-01,24.4,872.1,3.6
1948-08-01,24.43,904.0,3.9
1948-09-01,24.36,912.4,3.8
1948-10-01,24.31,904.0,3.7
1948-11-01,24.16,897.2,3.8
1948-12-01,24.05,904.9,4.0
1949-01-01,24.01,869.5,4.3
1949-02-01,23.91,863.7,4.7
1949-03-01,23.91,857.1,5.0
1949-04-01,23.92,858.4,5.3
1949-05-01,23.91,847.4,6.1
1949-06-01,23.92,844.5,6.2
1949-07-01,23.7,837.8,6.7
1949-08-01,23.7,861.1,6.8
1949-09-01,23.75,884.7,6.6
1949-10-01,23.67,891.2,7.9
1949-11-01,23.7,894.1,6.4
1949-12-01,23.61,910.3,6.6
1950-01-01,23.51,888.5,6.5
1950-02-01,23.61,885.6,6.4
1950-03-01,23.64,889.4,6.3
1950-04-01,23.65,898.6,5.8
1950-05-01,23.77,899.9,5.5
1950-06-01,23.88,903.8,5.4
1950-07-01,24.07,905.2,5.0
1950-08-01,24.2,944.8,4.5
1950-09-01,24.34,973.2,4.4
1950-10-01,24.5,975.2,4.2
1950-11-01,24.6,978.6,4.2
1950-12-01,24.98,990.9,4.3
1951-01-01,25.38,974.6,3.7
1951-02-01,25.83,980.0,3.4
1951-03-01,25.88,990.7,3.4
1951-04-01,25.92,971.9,3.1
1951-05-01,25.99,975.1,3.0
1951-06-01,25.93,982.1,3.2
1951-07-01,25.91,972.7,3.1
1951-08-01,25.86,984.4,3.1
1951-09-01,26.03,998.3,3.3
1951-10-01,26.16,1000.1,3.5
1951-11-01,26.32,1000.7,3.5
1951-12-01,26.47,1016.4,3.1
1952-01-01,26.45,988.4,3.2
1952-02-01,26.41,984.6,3.1
1952-03-01,26.39,982.9,2.9
1952-04-01,26.46,987.9,2.9
1952-05-01,26.47,987.6,3.0
1952-06-01,26.53,996.0,3.0
1952-07-01,26.68,989.9,3.2
1952-08-01,26.69,1009.6,3.4
1952-09-01,26.63,1024.8,3.1
1952-10-01,26.69,1033.4,3.0
1952-11-01,26.69,1037.8,2.8
1952-12-01,26.71,1054.0,2.7
1953-01-01,26.64,1015.8,2.9
1953-02-01,26.59,1013.2,2.6
1953-03-01,26.63,1016.8,2.6
1953-04-01,26.69,1013.1,2.7
1953-05-01,26.7,1012.9,2.5
1953-06-01,26.77,1015.9,2.5
1953-07-01,26.79,1019.0,2.6
1953-08-01,26.85,1034.3,2.7
1953-09-01,26.89,1045.5,2.9
1953-10-01,26.95,1033.3,3.1
1953-11-01,26.85,1029.6,3.5
1953-12-01,26.87,1035.4,4.5
1954-01-01,26.94,996.6,4.9
1954-02-01,26.99,993.8,5.2
1954-03-01,26.93,993.8,5.7
1954-04-01,26.86,997.6,5.9
1954-05-01,26.93,989.8,5.9
1954-06-01,26.94,996.3,5.6
1954-07-01,26.86,991.0,5.8
1954-08-01,26.85,1013.6,6.0
1954-09-01,26.81,1031.6,6.1
1954-10-01,26.72,1041.5,5.7
1954-11-01,26.78,1044.8,5.3
1954-12-01,26.77,1052.5,5.0
1955-01-01,26.77,1023.7,4.9
1955-02-01,26.82,1024.1,4.7
1955-03-01,26.79,1033.6,4.6
1955-04-01,26.79,1034.3,4.7
1955-05-01,26.77,1042.3,4.3
1955-06-01,26.71,1051.9,4.2
1955-07-01,26.76,1039.8,4.0
1955-08-01,26.72,1061.1,4.2
1955-09-01,26.85,1090.0,4.1
1955-10-01,26.82,1100.9,4.3
1955-11-01,26.88,1101.0,4.2
1955-12-01,26.87,1109.8,4.2
1956-01-01,26.83,1089.0,4.0
1956-02-01,26.86,1087.8,3.9
1956-03-01,26.89,1092.9,4.2
1956-04-01,26.93,1081.5,4.0
1956-05-01,27.03,1084.8,4.3
1956-06-01,27.15,1087.7,4.3
1956-07-01,27.29,1085.7,4.4
1956-08-01,27.31,1104.8,4.1
1956-09-01,27.35,1122.3,3.9
1956-10-01,27.51,1113.6,3.9
1956-11-01,27.51,1117.1,4.3
1956-12-01,27.63,1123.0,4.2
1957-01-01,27.67,1089.3,4.2
1957-02-01,27.8,1084.7,3.9
1957-03-01,27.86,1086.4,3.7
1957-04-01,27.93,1094.0,3.9
1957-05-01,28.0,1092.7,4.1
1957-06-01,28.11,1093.0,4.3
1957-07-01,28.19,1090.0,4.2
1957-08-01,28.28,1109.5,4.1
1957-09-01,28.32,1126.1,4.4
1957-10-01,28.32,1120.2,4.5
1957-11-01,28.41,1113.2,5.1
1957-12-01,28.47,1117.5,5.2
1958-01-01,28.64,1088.4,5.8
1958-02-01,28.7,1079.2,6.4
1958-03-01,28.87,1082.5,6.7
1958-04-01,28.94,1083.4,7.4
1958-05-01,28.94,1089.7,7.4
1958-06-01,28.91,1094.8,7.3
1958-07-01,28.89,1092.7,7.5
1958-08-01,28.94,1117.4,7.4
1958-09-01,28.91,1144.9,7.1
1958-10-01,28.91,1145.8,6.7
1958-11-01,28.95,1142.0,6.2
1958-12-01,28.97,1144.3,6.2
1959-01-01,29.01,1118.6,6.0
1959-02-01,29.0,1124.0,5.9
1959-03-01,28.97,1132.3,5.6
1959-04-01,28.98,1143.8,5.2
1959-05-01,29.04,1150.6,5.1
1959-06-01,29.11,1157.4,5.0
1959-07-01,29.15,1154.0,5.1
1959-08-01,29.18,1179.5,5.2
1959-09-01,29.25,1201.7,5.5
1959-10-01,29.35,1200.8,5.7
1959-11-01,29.35,1196.7,5.8
1959-12-01,29.41,1205.0,5.3
1960-01-01,29.37,1172.9,5.2
1960-02-01,29.41,1169.2,4.8
1960-03-01,29.41,1162.2,5.4
1960-04-01,29.54,1193.3,5.2
1960-05-01,29.57,1192.6,5.1
1960-06-01,29.61,1194.5,5.4
1960-07-01,29.55,1187.9,5.5
1960-08-01,29.61,1202.5,5.6
1960-09-01,29.61,1225.0,5.5
1960-10-01,29.75,1218.1,6.1
1960-11-01,29.78,1216.0,6.1
1960-12-01,29.81,1211.8,6.6
1961-01-01,29.84,1175.0,6.6
1961-02-01,29.84,1168.5,6.9
1961-03-01,29.84,1178.3,6.9
1961-04-01,29.81,1184.6,7.0
1961-05-01,29.84,1193.3,7.1
1961-06-01,29.84,1200.1,6.9
1961-07-01,29.92,1201.3,7.0
1961-08-01,29.94,1224.3,6.6
1961-09-01,29.98,1248.9,6.7
1961-10-01,29.98,1244.8,6.5
1961-11-01,29.98,1245.1,6.1
1961-12-01,30.01,1245.2,6.0
1962-01-01,30.04,1215.8,5.8
1962-02-01,30.11,1222.5,5.5
1962-03-01,30.17,1227.5,5.6
1962-04-01,30.21,1241.8,5.6
1962-05-01,30.24,1249.0,5.5
1962-06-01,30.21,1249.4,5.5
1962-07-01,30.22,1252.5,5.4
1962-08-01,30.28,1274.6,5.7
1962-09-01,30.42,1298.7,5.6
1962-10-01,30.38,1296.1,5.4
1962-11-01,30.38,1286.4,5.7
1962-12-01,30.38,1287.8,5.5
1963-01-01,30.44,1259.9,5.7
1963-02-01,30.48,1260.0,5.9
1963-03-01,30.51,1268.0,5.7
1963-04-01,30.48,1284.1,5.7
1963-05-01,30.51,1287.7,5.9
1963-06-01,30.61,1292.1,5.6
1963-07-01,30.69,1290.7,5.6
1963-08-01,30.75,1313.2,5.4
1963-09-01,30.72,1334.2,5.5
1963-10-01,30.75,1332.4,5.5
1963-11-01,30.78,1330.0,5.7
1963-12-01,30.88,1331.0,5.5
1964-01-01,30.94,1310.7,5.6
1964-02-01,30.91,1307.9,5.4
1964-03-01,30.94,1318.6,5.4
1964-04-01,30.95,1328.7,5.3
1964-05-01,30.98,1337.4,5.1
1964-06-01,31.01,1346.4,5.2
1964-07-01,31.02,1344.4,4.9
1964-08-01,31.05,1363.1,5.0
1964-09-01,31.08,1389.6,5.1
1964-10-01,31.12,1398.5,5.1
1964-11-01,31.21,1395.5,4.8
1964-12-01,31.25,1403.9,5.0
1965-01-01,31.28,1377.5,4.9
1965-02-01,31.28,1380.0,5.1
1965-03-01,31.31,1390.1,4.7
1965-04-01,31.38,1408.1,4.8
1965-05-01,31.48,1414.8,4.6
1965-06-01,31.61,1424.5,4.6
1965-07-01,31.58,1427.1,4.4
1965-08-01,31.55,1446.0,4.4
1965-09-01,31.62,1464.9,4.3
1965-10-01,31.65,1475.4,4.2
1965-11-01,31.75,1476.8,4.1
1965-12-01,31.85,1489.5,4.0
1966-01-01,31.88,1467.6,4.0
1966-02-01,32.08,1473.6,3.8
1966-03-01,32.18,1492.1,3.8
1966-04-01,32.28,1510.8,3.8
1966-05-01,32.35,1517.5,3.9
1966-06-01,32.38,1534.4,3.8
1966-07-01,32.45,1533.6,3.8
1966-08-01,32.65,1552.8,3.8
1966-09-01,32.75,1569.0,3.7
1966-10-01,32.85,1580.1,3.7
1966-11-01,32.88,1584.7,3.6
1966-12-01,32.92,1595.0,3.8
1967-01-01,32.9,1565.0,3.9
1967-02-01,33.0,1563.3,3.8
1967-03-01,33.0,1574.0,3.8
1967-04-01,33.1,1580.4,3.8
1967-05-01,33.1,1583.8,3.8
1967-06-01,33.3,1598.4,3.9
1967-07-01,33.4,1584.6,3.8
1967-08-01,33.5,1603.0,3.8
1967-09-01,33.6,1625.5,3.8
1967-10-01,33.7,1635.7,4.0
1967-11-01,33.9,1646.0,3.9
1967-12-01,34.0,1650.5,3.8
1968-01-01,34.1,1609.8,3.7
1968-02-01,34.2,1630.5,3.8
1968-03-01,34.3,1639.3,3.7
1968-04-01,34.4,1653.8,3.5
1968-05-01,34.5,1661.3,3.5
1968-06-01,34.7,1680.3,3.7
1968-07-01,34.9,1680.4,3.7
1968-08-01,35.0,1695.0,3.5
1968-09-01,35.1,1712.3,3.4
1968-10-01,35.3,1720.0,3.4
1968-11-01,35.4,1725.4,3.4
1968-12-01,35.6,1735.6,3.4
1969-01-01,35.7,1706.7,3.4
1969-02-01,35.8,1714.2,3.4
1969-03-01,36.1,1722.0,3.4
1969-04-01,36.3,1725.2,3.4
1969-05-01,36.4,1729.2,3.4
1969-06-01,36.6,1748.9,3.5
1969-07-01,36.8,1739.8,3.5
1969-08-01,36.9,1753.4,3.5
1969-09-01,37.1,1769.9,3.7
1969-10-01,37.3,1780.3,3.7
1969-11-01,37.5,1785.2,3.5
1969-12-01,37.7,1789.4,3.5
1970-01-01,37.9,1757.8,3.9
1970-02-01,38.1,1765.5,4.2
1970-03-01,38.3,1773.4,4.4
1970-04-01,38.5,1775.0,4.6
1970-05-01,38.6,1776.1,4.8
1970-06-01,38.8,1784.0,4.9
1970-07-01,38.9,1773.4,5.0
1970-08-01,39.0,1784.4,5.1
1970-09-01,39.2,1798.5,5.4
1970-10-01,39.4,1798.9,5.5
1970-11-01,39.6,1800.2,5.9
1970-12-01,39.8,1806.2,6.1
1971-01-01,39.9,1773.3,5.9
1971-02-01,39.9,1773.8,5.9
1971-03-01,40.0,1781.7,6.0
1971-04-01,40.1,1791.8,5.9
1971-05-01,40.3,1799.9,5.9
1971-06-01,40.5,1807.3,5.9
1971-07-01,40.6,1803.8,6.0
1971-08-01,40.7,1814.5,6.1
1971-09-01,40.8,1845.0,6.0
1971-10-01,40.9,1847.6,5.8
1971-11-01,41.0,1855.4,6.0
1971-12-01,41.1,1867.6,6.0
1972-01-01,41.2,1852.2,5.8
1972-02-01,41.4,1862.2,5.7
1972-03-01,41.4,1881.2,5.8
1972-04-01,41.5,1888.4,5.7
1972-05-01,41.6,1895.0,5.7
1972-06-01,41.7,1911.2,5.7
1972-07-01,41.8,1906.1,5.6
1972-08-01,41.9,1922.3,5.6
1972-09-01,42.1,1936.3,5.5
1972-10-01,42.2,1950.7,5.6
1972-11-01,42.4,1963.2,5.3
1972-12-01,42.5,1974.6,5.2
1973-01-01,42.7,1930.0,4.9
1973-02-01,43.0,1954.1,5.0
1973-03-01,43.4,1972.4,4.9
1973-04-01,43.7,1998.0,5.0
1973-05-01,43.9,2009.1,4.9
1973-06-01,44.2,2017.7,4.9
1973-07-01,44.2,2010.1,4.8
1973-08-01,45.0,2033.5,4.8
1973-09-01,45.2,2056.4,4.8
1973-10-01,45.6,2070.7,4.6
1973-11-01,45.9,2081.6,4.8
1973-12-01,46.3,2084.0,4.9
1974-01-01,46.8,2030.1,5.1
1974-02-01,47.3,2029.2,5.2
1974-03-01,47.8,2037.6,5.1
1974-04-01,48.1,2056.7,5.1
1974-05-01,48.6,2069.4,5.1
1974-06-01,49.0,2098.7,5.4
1974-07-01,49.3,2052.6,5.5
1974-08-01,49.9,2066.9,5.5
1974-09-01,50.6,2080.3,5.9
1974-10-01,51.0,2043.7,6.0
1974-11-01,51.5,2021.5,6.6
1974-12-01,51.9,1991.7,7.2
1975-01-01,52.3,1938.8,8.1
1975-02-01,52.6,1922.6,8.1
1975-03-01,52.8,1918.1,8.6
1975-04-01,53.0,1934.1,8.8
1975-05-01,53.1,1954.4,9.0
1975-06-01,53.5,1983.3,8.8
1975-07-01,54.0,1958.6,8.6
1975-08-01,54.2,1992.7,8.4
1975-09-01,54.6,2021.6,8.4
1975-10-01,54.9,2037.8,8.4
1975-11-01,55.3,2044.8,8.3
1975-12-01,55.6,2051.2,8.2
1976-01-01,55.8,2026.8,7.9
1976-02-01,55.9,2034.7,7.7
1976-03-01,56.0,2049.4,7.6
1976-04-01,56.1,2062.8,7.7
1976-05-01,56.4,2073.9,7.4
1976-06-01,56.7,2098.3,7.6
1976-07-01,57.0,2069.8,7.8
1976-08-01,57.3,2092.7,7.8
1976-09-01,57.6,2115.0,7.6
1976-10-01,57.9,2118.0,7.7
1976-11-01,58.1,2123.1,7.8
1976-12-01,58.4,2128.7,7.8
1977-01-01,58.7,2090.2,7.5
1977-02-01,59.3,2099.6,7.6
1977-03-01,59.6,2121.2,7.4
1977-04-01,60.0,2137.1,7.2
1977-05-01,60.2,2150.0,7.0
1977-06-01,60.5,2179.9,7.2
1977-07-01,60.8,2158.1,6.9
1977-08-01,61.1,2183.1,7.0
1977-09-01,61.3,2217.1,6.8
1977-10-01,61.6,2230.0,6.8
1977-11-01,62.0,2234.5,6.8
1977-12-01,62.3,2245.8,6.4
1978-01-01,62.7,2203.8,6.4
1978-02-01,63.0,2217.3,6.3
1978-03-01,63.4,2224.9,6.3
1978-04-01,63.9,2246.7,6.1
1978-05-01,64.5,2255.9,6.0
1978-06-01,65.0,2286.7,5.9
1978-07-01,65.5,2251.0,6.2
1978-08-01,65.9,2277.8,5.9
1978-09-01,66.5,2341.7,6.0
1978-10-01,67.1,2335.8,5.8
1978-11-01,67.5,2344.7,5.9
1978-12-01,67.9,2343.4,6.0
1979-01-01,68.5,2325.4,5.9
1979-02-01,69.2,2325.6,5.9
1979-03-01,69.9,2348.6,5.8
1979-04-01,70.6,2362.6,5.8
1979-05-01,71.4,2372.2,5.6
1979-06-01,72.2,2398.8,5.7
1979-07-01,73.0,2348.3,5.7
1979-08-01,73.7,2366.9,6.0
1979-09-01,74.4,2405.4,5.9
1979-10-01,75.2,2406.0,6.0
1979-11-01,76.0,2406.7,5.9
1979-12-01,76.9,2409.8,6.0
1980-01-01,78.0,2370.0,6.3
1980-02-01,79.0,2367.5,6.3
1980-03-01,80.1,2379.2,6.3
1980-04-01,80.9,2391.6,6.9
1980-05-01,81.7,2390.9,7.5
1980-06-01,82.5,2391.9,7.6
1980-07-01,82.6,2319.2,7.8
1980-08-01,83.2,2342.9,7.7
1980-09-01,83.9,2391.2,7.5
1980-10-01,84.7,2402.5,7.5
1980-11-01,85.6,2407.8,7.5
1980-12-01,86.4,2405.9,7.2
1981-01-01,87.2,2364.8,7.5
1981-02-01,88.0,2370.1,7.4
1981-03-01,88.6,2386.2,7.4
1981-04-01,89.1,2396.7,7.2
1981-05-01,89.7,2402.0,7.5
1981-06-01,90.5,2422.7,7.5
1981-07-01,91.5,2356.5,7.2
1981-08-01,92.2,2369.4,7.4
1981-09-01,93.1,2414.4,7.6
1981-10-01,93.4,2414.4,7.9
1981-11-01,93.8,2408.3,8.3
1981-12-01,94.1,2393.5,8.5
1982-01-01,94.4,2331.7,8.6
1982-02-01,94.7,2338.0,8.9
1982-03-01,94.7,2342.5,9.0
1982-04-01,95.0,2351.9,9.3
1982-05-01,95.9,2352.4,9.4
1982-06-01,97.0,2360.8,9.6
1982-07-01,97.5,2304.0,9.8
1982-08-01,97.7,2321.5,9.8
1982-09-01,97.7,2368.9,10.1
1982-10-01,98.1,2365.0,10.4
1982-11-01,98.0,2361.1,10.8
1982-12-01,97.7,2366.2,10.8
1983-01-01,97.9,2327.4,10.4
1983-02-01,98.0,2330.3,10.4
1983-03-01,98.1,2356.1,10.3
1983-04-01,98.8,2383.6,10.2
1983-05-01,99.2,2400.0,10.1
1983-06-01,99.4,2433.6,10.1
1983-07-01,99.8,2396.9,9.4
1983-08-01,100.1,2410.4,9.5
1983-09-01,100.4,2477.7,9.2
1983-10-01,100.8,2496.7,8.8
1983-11-01,101.1,2504.0,8.5
1983-12-01,101.4,2514.3,8.3
1984-01-01,102.1,2487.2,8.0
1984-02-01,102.6,2502.1,7.8
1984-03-01,102.9,2529.7,7.8
1984-04-01,103.3,2545.6,7.7
1984-05-01,103.5,2563.6,7.4
1984-06-01,103.7,2584.5,7.2
1984-07-01,104.1,2532.8,7.5
